,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
0,0.0148,0.0195,0.0169,0.0142,0.0124,0.0153,0.0136,0.0225,0.0187,140.2547,80.1544,98.9578,136.8775,180.4308,53.7555,168.7546,53.8447,65.7059,0.0165,0.0208,0.0165,0.0147,0.0128,0.0164,0.0153,0.0250,0.0207,165.1528,114.3912,157.5452,184.7237,253.9092,65.3747,178.3780,51.9579,57.4928
1,0.0197,0.0260,0.0225,0.0190,0.0165,0.0204,0.0182,0.0300,0.0250,227.4389,132.7216,162.1025,226.0116,299.1392,98.8295,296.4852,85.2652,119.1516,0.0220,0.0278,0.0220,0.0196,0.0171,0.0219,0.0204,0.0334,0.0276,272.1583,183.4603,260.5700,317.0900,444.2394,126.7890,330.0129,80.7363,114.1923
2,0.0295,0.0390,0.0337,0.0285,0.0248,0.0307,0.0273,0.0450,0.0375,341.6882,205.1132,248.8932,346.3904,457.5120,179.6252,475.1048,124.7243,213.2245,0.0330,0.0417,0.0329,0.0293,0.0256,0.0329,0.0306,0.0501,0.0414,412.8216,270.5607,397.4790,499.4072,701.2147,245.7762,558.9697,114.0628,225.2242
3,0.0393,0.0520,0.0449,0.0379,0.0330,0.0409,0.0364,0.0600,0.0499,383.3297,238.9893,288.2773,393.3277,514.3584,249.2841,537.1665,141.7704,291.4225,0.0440,0.0556,0.0439,0.0391,0.0342,0.0438,0.0407,0.0667,0.0552,459.9070,300.6094,446.3337,565.6970,775.2787,357.3216,656.2812,125.0393,331.7819
4,0.0492,0.0651,0.0562,0.0474,0.0413,0.0511,0.0455,0.0750,0.0624,403.6620,263.8880,315.0127,414.7253,536.6994,315.9386,555.3073,162.6357,362.1068,0.0550,0.0695,0.0549,0.0489,0.0427,0.0548,0.0509,0.0834,0.0690,483.0809,327.6997,474.1220,591.5652,779.6279,459.8963,692.3557,144.1533,434.4506
5,0.0590,0.0781,0.0674,0.0569,0.0495,0.0613,0.0546,0.0899,0.0749,416.3449,286.2280,339.9077,425.3264,542.4488,379.5629,571.0621,189.1769,422.2830,0.0660,0.0834,0.0659,0.0587,0.0513,0.0657,0.0611,0.1001,0.0828,510.3124,361.5354,507.1715,615.4811,775.6148,553.5607,734.3325,177.1896,534.1597
6,0.0688,0.0911,0.0787,0.0664,0.0578,0.0716,0.0636,0.1049,0.0874,437.5803,314.2838,371.9887,442.9454,549.7466,437.6393,590.6809,222.9132,471.4489,0.0771,0.0973,0.0769,0.0685,0.0598,0.0767,0.0713,0.1168,0.0966,552.6495,399.1395,552.1867,654.3326,796.9694,639.8617,787.7351,226.4118,630.9896
7,0.0787,0.1041,0.0899,0.0759,0.0660,0.0818,0.0727,0.1199,0.0999,470.2150,350.4962,408.5538,473.1102,570.5401,488.0786,611.2535,265.1086,519.6978,0.0881,0.1112,0.0878,0.0782,0.0684,0.0876,0.0815,0.1335,0.1104,605.7073,438.1852,603.4261,708.1365,855.3023,718.3432,837.5574,290.4924,719.3540
8,0.0885,0.1171,0.1011,0.0854,0.0743,0.0920,0.0818,0.1349,0.1124,508.7195,391.4598,444.8135,508.6113,602.8461,531.2835,628.4650,313.5004,577.0890,0.0991,0.1250,0.0988,0.0880,0.0769,0.0986,0.0917,0.1502,0.1242,664.5141,480.5347,658.7502,769.6322,929.9547,788.3283,876.0623,362.4843,797.4833
9,0.0983,0.1301,0.1124,0.0949,0.0826,0.1022,0.0909,0.1499,0.1248,547.8231,432.8328,479.9371,543.6446,638.0237,568.0238,640.6717,363.0437,633.5258,0.1101,0.1389,0.1098,0.0978,0.0855,0.1095,0.1019,0.1669,0.1379,723.2809,525.7681,714.2191,830.3434,1001.4217,848.6329,901.7044,435.0268,873.2699
10,0.1082,0.1431,0.1236,0.1043,0.0908,0.1125,0.1000,0.1649,0.1373,581.1526,469.7350,511.6930,574.4779,667.4253,598.1977,647.4090,408.2202,673.0359,0.1211,0.1528,0.1208,0.1076,0.0940,0.1205,0.1121,0.1836,0.1517,774.6463,573.2741,763.2660,879.8495,1057.8866,898.2336,914.9868,505.1438,942.5019
