,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
0,0.0148,0.0195,0.0169,0.0142,0.0124,0.0153,0.0136,0.0225,0.0187,0.0165,0.0208,0.0165,0.0147,0.0128,0.0164,0.0153,0.0250,0.0207,-22.7783,-26.4097,-24.3636,-21.2865,-20.9948,-43.6313,-9.1651,-13.2438,-39.7775,-23.3897,-24.3965,-23.7335,-22.3747,-22.5015,-45.2324,-8.4708,-13.2420,-40.7230
1,0.0197,0.0260,0.0225,0.0190,0.0165,0.0204,0.0182,0.0300,0.0250,0.0220,0.0278,0.0220,0.0196,0.0171,0.0219,0.0204,0.0334,0.0276,-23.0777,-26.7108,-24.7152,-21.5950,-21.3281,-42.5819,-9.4266,-12.7319,-37.9336,-23.9897,-25.0337,-24.2071,-23.0502,-23.2871,-43.7721,-8.7650,-12.5683,-38.8121
2,0.0295,0.0390,0.0337,0.0285,0.0248,0.0307,0.0273,0.0450,0.0375,0.0330,0.0417,0.0329,0.0293,0.0256,0.0329,0.0306,0.0501,0.0414,-23.6229,-27.2857,-25.3530,-22.1828,-21.9134,-40.4563,-9.9529,-11.7134,-34.1852,-25.1457,-26.1990,-25.1218,-24.4031,-24.6940,-40.9723,-9.3715,-11.2917,-34.9352
3,0.0393,0.0520,0.0449,0.0379,0.0330,0.0409,0.0364,0.0600,0.0499,0.0440,0.0556,0.0439,0.0391,0.0342,0.0438,0.0407,0.0667,0.0552,-23.9945,-27.7411,-25.7965,-22.6190,-22.2844,-38.3651,-10.4639,-10.7361,-30.3697,-26.0072,-26.9405,-25.8225,-25.4928,-25.5629,-38.5179,-9.9524,-10.1379,-31.1029
4,0.0492,0.0651,0.0562,0.0474,0.0413,0.0511,0.0455,0.0750,0.0624,0.0550,0.0695,0.0549,0.0489,0.0427,0.0548,0.0509,0.0834,0.0690,-24.1107,-27.9791,-25.9725,-22.7941,-22.3756,-36.4313,-10.8919,-9.8174,-26.5803,-26.3077,-27.0571,-26.1245,-25.9253,-25.6556,-36.4703,-10.4007,-9.0551,-27.4758
5,0.0590,0.0781,0.0674,0.0569,0.0495,0.0613,0.0546,0.0899,0.0749,0.0660,0.0834,0.0659,0.0587,0.0513,0.0657,0.0611,0.1001,0.0828,-23.9758,-27.9673,-25.8852,-22.7261,-22.2001,-34.7054,-11.2101,-8.9309,-22.9120,-26.0532,-26.6701,-26.0294,-25.6337,-25.0475,-34.7342,-10.6686,-8.0155,-24.0466
6,0.0688,0.0911,0.0787,0.0664,0.0578,0.0716,0.0636,0.1049,0.0874,0.0771,0.0973,0.0769,0.0685,0.0598,0.0767,0.0713,0.1168,0.0966,-23.6383,-27.7064,-25.5710,-22.4767,-21.7942,-33.2043,-11.4730,-8.0686,-19.5069,-25.4086,-26.0109,-25.6264,-24.8322,-23.9618,-33.2355,-10.7918,-7.0196,-20.8285
7,0.0787,0.1041,0.0899,0.0759,0.0660,0.0818,0.0727,0.1199,0.0999,0.0881,0.1112,0.0878,0.0782,0.0684,0.0876,0.0815,0.1335,0.1104,-23.1381,-27.2081,-25.0641,-22.0775,-21.2216,-31.9415,-11.6948,-7.2522,-16.5183,-24.5378,-25.2367,-25.0046,-23.7981,-22.5905,-31.9604,-10.8581,-6.0563,-17.8910
8,0.0885,0.1171,0.1011,0.0854,0.0743,0.0920,0.0818,0.1349,0.1124,0.0991,0.1250,0.0988,0.0880,0.0769,0.0986,0.0917,0.1502,0.1242,-22.4947,-26.5187,-24.3830,-21.5334,-20.5493,-30.9371,-11.8500,-6.5146,-14.0150,-23.5433,-24.3847,-24.2268,-22.7136,-21.0669,-30.9183,-10.9385,-5.1256,-15.3207
