,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
0,-2.1968,-1.6403,-2.0121,-2.0928,-2.7753,10.6357,-2.5293,2.0644,9.7999,-2.5312,-1.7368,-2.4255,-3.0544,-5.3359,16.3846,-4.0508,1.6305,12.1368,-2.0850,-1.5052,-1.9789,-2.0667,-2.7419,4.4386,-2.6175,-0.4721,3.2617,-3.1219,-2.0672,-2.9925,-3.9712,-7.2008,8.7601,-5.6798,-0.1350,4.6288,-1.4579,-1.2022,-1.1833,-1.2122,-1.6051,19.4840,-1.2020,6.7119,19.7723,-1.2361,-0.9682,-1.1831,-1.1653,-1.6150,26.3149,-0.8848,4.2291,22.4682
1,-2.4587,-2.0140,-2.3743,-2.3173,-2.9663,13.3227,-2.9830,2.8046,13.0023,-2.9560,-2.1803,-2.8435,-3.5074,-5.9249,21.1364,-4.9471,2.5708,17.1703,-2.3593,-1.8700,-2.3604,-2.3061,-2.9832,5.8005,-3.0625,-0.4605,4.8161,-3.7319,-2.6683,-3.5973,-4.6122,-8.0494,11.7163,-6.8566,0.1169,7.4353,-1.5754,-1.4277,-1.3408,-1.3034,-1.6001,23.8782,-1.4717,8.7210,25.1601,-1.3059,-1.0981,-1.2443,-1.2549,-1.7070,33.2817,-1.2084,6.1407,30.3680
2,-2.6837,-2.3492,-2.6903,-2.5025,-3.1366,16.1527,-3.4480,3.6147,16.2565,-3.2934,-2.5690,-3.1870,-3.8558,-6.3995,26.3870,-5.8882,3.7130,22.8663,-2.6156,-2.2233,-2.7174,-2.5182,-3.2221,7.2552,-3.5170,-0.4208,6.3670,-4.2917,-3.2702,-4.1636,-5.1717,-8.8533,15.0081,-8.0747,0.4419,10.6649,-1.6308,-1.5729,-1.4252,-1.3465,-1.5433,28.4614,-1.7513,10.8605,30.6981,-1.2410,-1.0921,-1.1840,-1.2174,-1.5892,40.9394,-1.5762,8.4321,39.2214
3,-2.8055,-2.6166,-2.9334,-2.5811,-3.2159,19.1684,-3.9172,4.4706,19.5958,-3.4886,-2.8334,-3.4065,-4.0437,-6.7102,32.0969,-6.8512,5.0385,29.0315,-2.8142,-2.5436,-3.0294,-2.6586,-3.4354,8.8187,-3.9702,-0.3572,8.0121,-4.7526,-3.7985,-4.6447,-5.6004,-9.5671,18.6143,-9.2877,0.8155,14.2638,-1.5290,-1.6045,-1.4082,-1.2542,-1.2926,33.3161,-2.0454,13.0733,36.2629,-0.9841,-0.8977,-0.9548,-0.9943,-1.2121,49.2247,-2.0063,11.0969,48.6390
4,-2.8260,-2.7775,-3.0396,-2.5584,-3.1800,22.2034,-4.3808,5.3507,22.8629,-3.4658,-2.9074,-3.4173,-4.0106,-6.7000,38.0826,-7.7960,6.5247,35.3727,-2.9411,-2.8021,-3.2511,-2.7183,-3.5418,10.4432,-4.4099,-0.2689,9.6762,-5.0585,-4.2002,-4.9842,-5.8458,-9.9032,22.4434,-10.4432,1.2191,18.1016,-1.3068,-1.4789,-1.2128,-1.0608,-0.9603,38.0899,-2.3536,15.2989,41.5876,-0.4387,-0.4372,-0.4382,-0.5204,-0.6494,57.8323,-2.4833,14.1093,58.1078
5,-2.7054,-2.7802,-3.0133,-2.4067,-2.9881,25.2997,-4.8196,6.2389,25.8735,-3.2138,-2.7415,-3.2151,-3.7308,-6.4404,44.1318,-8.6900,8.1493,41.5058,-2.9819,-2.9687,-3.3832,-2.6971,-3.5513,12.1488,-4.8232,-0.1499,11.2202,-5.1802,-4.4224,-5.1476,-5.8927,-10.0671,26.3622,-11.5082,1.6456,21.9757,-0.8857,-1.1204,-0.8503,-0.6902,-0.4120,42.8537,-2.6518,17.4788,46.4712,0.3763,0.3264,0.3209,0.2435,0.2517,66.4528,-2.9801,17.4256,67.0060
6,-2.4569,-2.6260,-2.8174,-2.1098,-2.7123,28.2940,-5.1310,7.1368,28.5166,-2.6870,-2.3231,-2.7641,-3.1503,-5.9190,50.0600,-9.4966,9.8962,47.1514,-2.9362,-3.0460,-3.3908,-2.5782,-3.5174,13.8420,-5.1571,0.0046,12.5332,-5.0872,-4.4437,-5.1143,-5.7026,-10.0465,30.2659,-12.4314,2.1077,25.6480,-0.3028,-0.5267,-0.2951,-0.1351,0.2718,47.3647,-2.7744,19.6075,50.8519,1.5240,1.3902,1.3775,1.3681,1.5020,74.7993,-3.4886,20.9861,75.0274
7,-2.0730,-2.3145,-2.4531,-1.7000,-2.2974,31.0838,-5.4809,8.0461,30.6920,-1.8878,-1.6556,-2.0478,-2.2786,-5.0197,55.6486,-10.1871,11.7531,52.0191,-2.8033,-3.0305,-3.2873,-2.4003,-3.3893,15.4848,-5.4752,0.2026,13.5361,-4.7668,-4.2546,-4.8597,-5.2856,-9.6373,34.0301,-13.1897,2.6295,28.8641,0.4604,0.2957,0.4790,0.6004,1.1310,51.4243,-3.0374,21.6719,54.6283,2.9787,2.7308,2.7335,2.8468,3.0610,82.5334,-3.9752,24.7218,81.8636
8,-1.5600,-1.8290,-1.9336,-1.1482,-1.7471,33.6408,-5.7708,8.9737,32.3719,-0.8273,-0.7640,-1.0824,-1.1071,-3.8472,60.7619,-10.7502,13.7013,56.0089,-2.5913,-2.9117,-3.0849,-2.1404,-3.1833,17.0254,-5.7340,0.4443,14.1800,-4.2299,-3.8670,-4.3936,-4.6449,-9.0169,37.5590,-13.7718,3.2325,31.4390,1.4048,1.3693,1.4623,1.5461,2.1912,55.0684,-3.2657,23.6907,57.8314,4.7300,4.3051,4.3639,4.7051,4.9544,89.4740,-4.4300,28.5524,87.5650
